曲名,セクション,難易度0,難易度1,難易度2,難易度3,難易度4,難易度5
Lemon,Aメロ,3,6,4,,,6
ultrasoul,Aメロ,5,,,,5,
キセキ,Aメロ,4,5,,7,6,6
チェリー,Aメロ,2,3,3,5,5,
小さな恋のうた,Aメロ,4,3,2,5,5,5
世界に一つだけの花,Aメロ,1,3,1,2,4,2
前前前世,Aメロ,5,3,2,6,5,6
天体観測,Aメロ,4,3,4,5,5,
粉雪,Aメロ,3,2,2,6,5,
恋,Aメロ,5,,,5,,5
Lemon,Bメロ,4,4,2,,,6
ultrasoul,Bメロ,6,,,,6,
キセキ,Bメロ,5,6,,5,6,6
チェリー,Bメロ,3,3,3,5,4,
小さな恋のうた,Bメロ,6,2,5,6,5,5
世界に一つだけの花,Bメロ,2,2,2,4,3,2
前前前世,Bメロ,6,6,4,7,7,6
天体観測,Bメロ,5,5,4,6,6,
粉雪,Bメロ,3,3,3,3,5,
恋,Bメロ,4,,,6,,4
Lemon,サビ,7,6,6,,,6
ultrasoul,サビ,7,,,,6,
キセキ,サビ,4,6,,6,5,6
チェリー,サビ,4,5,4,6,6,
小さな恋のうた,サビ,4,3,6,4,5,4
世界に一つだけの花,サビ,1,2,1,3,2,2
前前前世,サビ,5,6,3,6,5,5
天体観測,サビ,6,3,5,4,4,
粉雪,サビ,5,5,6,6,5,
恋,サビ,5,,,5,,5
