difficult_avarage,diffi1,diffi2,diffi3,diffi4,diffi5,diffi6,跳躍割合,上向跳躍割合,下降跳躍割合,音域,WPCS,タイの数,音価コスト,テンポ,音価コストとテンポの積,変化割合,ピッチエントロピー,音価エントロピー
1.83,2,1,2,1,3,2,14,8,5,15,1.25,4,5.78,97,560.66,11.6,2.04,1.12
1.83,1,1,2,1,3,3,14,2,11,13,1.31,4,6.15,97,596.55,16.3,2.06,1.08
2.17,3,1,2,2,2,3,24,20,4,9,1.63,4,6.37,97,617.89,14.6,1.65,1.53
2.2,1,2,3,3,2,,38,27,11,19,1.16,6,4.93,90,443.7,28,2.15,0.55
2.4,1,2,3,3,3,,21,21,0,14,1.22,4,5.69,90,512.1,18.4,2.42,1.08
1.6,2,1,2,2,1,,18,13,5,16,1.43,8,6.57,90,591.3,24.5,2.1,1.27
2.5,2,2,2,4,,,42,0,42,9,1.33,24,4.33,180,779.4,38.8,1.93,0.53
3,3,3,4,2,,,33,18,15,10,1.37,3,6.1,180,1098,25.6,1.98,1.38
2,3,1,2,2,,,40,22,18,12,1.45,22,4.38,180,788.4,23.4,1.69,0.88
2.8,3,3,3,1,4,,18,13,5,16,0.99,6,4.33,132,571.56,25.5,2.1,0.735
2.8,2,4,3,1,4,,38,27,12,14,1.1,7,3.83,132,505.56,21.6,1.94,0.88
2,3,2,2,1,2,,26,9,17,14,1.28,13,4.63,132,611.16,20,2.1,0.95
2.5,1,2,3,3,,2,24,12,12,10,1.53,6,5.88,170,999.6,41.1,1.36,0.98
2.8,3,2,3,3,,3,17,7,10,8,1.39,4,4.33,170,736.1,25.5,1.66,0.82
3.2,4,1,4,3,,4,53,28,25,12,1.53,11,3.87,170,657.9,38.5,1.74,0.925
1.83,1,1,1,2,3,3,12,6,6,9,1.03,28,6.95,82,569.9,22.7,1.75,1.51
2.33,1,2,2,2,3,3,22,10,12,17,1.23,7,6.68,82,547.76,20.6,2.2,1.13
2.83,3,3,4,3,1,3,24,15,9,10,1.48,18,6.4,82,524.8,7.7,1.96,1.68
